brand,market,fx_year,concatenate,cbht_report_source,brand_league,source_of_truth,notes,status,added_by,added_at
1664 Blanc,Finland,2025,1664 Blanc_Finland_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,France,2024,1664 Blanc_France_2024,FY23 C-BHT,Lead,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,France,2025,1664 Blanc_France_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Germany,2024,1664 Blanc_Germany_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Germany,2025,1664 Blanc_Germany_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Greece,2024,1664 Blanc_Greece_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Greece,2025,1664 Blanc_Greece_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Hong Kong,2024,1664 Blanc_Hong Kong_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Hong Kong,2025,1664 Blanc_Hong Kong_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Hungary,2024,1664 Blanc_Hungary_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Hungary,2025,1664 Blanc_Hungary_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,India,2024,1664 Blanc_India_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,,,,
1664 Blanc,India,2025,1664 Blanc_India_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,,,,
1664 Blanc,Italy,2024,1664 Blanc_Italy_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Italy,2025,1664 Blanc_Italy_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Latvia,2024,1664 Blanc_Latvia_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Latvia,2025,1664 Blanc_Latvia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Lithuania,2024,1664 Blanc_Lithuania_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Lithuania,2025,1664 Blanc_Lithuania_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Malaysia,2024,1664 Blanc_Malaysia_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Malaysia,2025,1664 Blanc_Malaysia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Montenegro,2024,1664 Blanc_Montenegro_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Montenegro,2025,1664 Blanc_Montenegro_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
1664 Blanc,Norway,2024,1664 Blanc_Norway_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,,,,
1664 Blanc,Norway,2025,1664 Blanc_Norway_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Poland,2024,1664 Blanc_Poland_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Poland,2025,1664 Blanc_Poland_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,In Poland FY24 study,,,
1664 Blanc,Serbia,2024,1664 Blanc_Serbia_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Serbia,2025,1664 Blanc_Serbia_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Singapore,2024,1664 Blanc_Singapore_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Singapore,2025,1664 Blanc_Singapore_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,South Korea,2024,1664 Blanc_South Korea_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,South Korea,2025,1664 Blanc_South Korea_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Sweden,2024,1664 Blanc_Sweden_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Sweden,2025,1664 Blanc_Sweden_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Switzerland,2024,1664 Blanc_Switzerland_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Switzerland,2025,1664 Blanc_Switzerland_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Ukraine,2024,1664 Blanc_Ukraine_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Ukraine,2025,1664 Blanc_Ukraine_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Market Study,,,
1664 Blanc,United Kingdom,2024,1664 Blanc_United Kingdom_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,United Kingdom,2025,1664 Blanc_United Kingdom_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Vietnam,2024,1664 Blanc_Vietnam_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Blanc,Vietnam,2025,1664 Blanc_Vietnam_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,China,2024,1664 Other_China_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Other,China,2025,1664 Other_China_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Denmark,2025,1664 Other_Denmark_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Estonia,2024,1664 Other_Estonia_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,Finland,2024,1664 Other_Finland_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
1664 Other,France,2024,1664 Other_France_2024,FY23 C-BHT,Lead,Carlsberg Insights Hub,in Beer study,,,
1664 Other,France,2025,1664 Other_France_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
